"list_name","name","label_khmer","label_english"
"districts","2105","កោះអណ្ដែត","Kaoh Andaet"
"districts","2106","ព្រៃកប្បាស","Prey Kabbas"
"districts","2107","សំរោង","Samraong"
"districts","2204","សំរោង","Samraong"
"districts","2201","អន្លង់វែង","Anlong Veaeng"
"districts","2202","បន្ទាយអំពិល","Banteay Ampil"
"districts","2203","ចុងកាល់","Chong Kal"
"districts","2205","ត្រពាំងប្រាសាទ","Trapeang Prasat"
"districts","2301","ដំណាក់ចង្អើរ","Damnak Chang'aeur"
"districts","2302","កែប","Kaeb"
"districts","2401","ប៉ៃលិន","Pailin"
"districts","2402","សាលាក្រៅ","Sala Krau"
"districts","2501","តំបែរ","Dambae"
"districts","2502","ក្រូចឆ្មារ","Krouch Chhmar"
"districts","2503","មេមត់","Memot"
"districts","2504","អូររាំងឪ","Ou Reang Ov"
"districts","2505","ពញាក្រែក","Ponhea Kraek"
"districts","2506","សួង","Suong"
"districts","2507","ត្បូងឃ្មុំ","Tboung Khmum"
